code,name_sq,name_en,class,group,statement,normal_balance,subledger,default_vat_code,cit_deductibility,profile,status,note
100100,Arka kryesore,Main Cash,1,10,BS,D,CASH,NA,NA,CORE,CHG,VAT was EXEMPT -> NA
100200,Arka valutore,Foreign Currency Cash,1,10,BS,D,CASH,NA,NA,CORE,CHG,Multi-currency; revalue at period end
100300,Para në rrugë,Cash in Transit,1,10,BS,D,CASH,NA,NA,CORE,KEEP,
100900,Diferenca në arkë,Cash Over / Short,1,10,BS,D,-,NA,NON,CORE,NEW,Shortages generally non-deductible
101001,Banka Raiffeisen,Raiffeisen Bank,1,10,BS,D,BANK,NA,NA,CORE,CHG,
101002,Banka TEB,TEB Bank,1,10,BS,D,BANK,NA,NA,CORE,CHG,
101003,Banka ProCredit,ProCredit Bank,1,10,BS,D,BANK,NA,NA,CORE,CHG,
101004,Banka NLB,NLB Bank,1,10,BS,D,BANK,NA,NA,CORE,CHG,
101005,Banka BKT,BKT Bank,1,10,BS,D,BANK,NA,NA,CORE,CHG,
101006,Banka BPB,BPB Bank,1,10,BS,D,BANK,NA,NA,CORE,NEW,Common in KS; add per company
101100,Llogari valutore (USD),Foreign Currency Account (USD),1,10,BS,D,BANK,NA,NA,CORE,CHG,
102100,Depozita afatshkurtra,Short-term Deposits,1,10,BS,D,BANK,NA,NA,CORE,CHG,
103100,PayPal / Portë pagesë,PayPal / Payment Gateway,1,10,BS,D,BANK,NA,NA,CORE,CHG,
103200,Klering i terminalit POS,Card Acquirer Clearing,1,10,BS,D,BANK,NA,NA,CORE,NEW,Card sale -> settlement lag; must reconcile
104100,Transfere ndërmjet llogarive,Internal Transfer Clearing,1,10,BS,D,-,NA,NA,CORE,NEW,Prevents double-count in bank rec; must be zero at close
109900,Konto kalimtare (suspense),Suspense Account,1,10,BS,D,-,NA,NA,CORE,NEW,Blocked from period close if non-zero
110100,Klientë vendas,Domestic Customers,1,11,BS,D,PARTNER,NA,NA,CORE,CHG,Control account; subledger only
110200,Klientë të huaj,Foreign Customers,1,11,BS,D,PARTNER,NA,NA,CORE,CHG,Control account; FX revaluation
110300,Klientë - palë të lidhura,Related Party Receivables,1,11,BS,D,PARTNER,NA,NA,CORE,NEW,Transfer pricing disclosure
110900,Provizion për klientë të dyshimtë,Allowance for Doubtful Accounts,1,11,BS,C,-,NA,NA,CORE,CHG,Contra-asset
111100,Të arkëtueshme nga punonjësit,Employee Receivables,1,11,BS,D,EMPLOYEE,NA,NA,CORE,CHG,
112100,Paradhënie furnitorëve,Advances to Suppliers,1,11,BS,D,PARTNER,NA,NA,CORE,CHG,
113100,TVSH e zbritshme - kontroll,Input VAT - Control,1,11,BS,D,TAX,NA,NA,CORE,CHG,Was VAT18 - now NA. Summary/control only
113110,TVSH e zbritshme - blerje vendore 18%,Input VAT - Domestic 18%,1,11,BS,D,TAX,NA,NA,CORE,NEW,
113120,TVSH e zbritshme - blerje vendore 8%,Input VAT - Domestic 8%,1,11,BS,D,TAX,NA,NA,CORE,NEW,
113200,TVSH e zbritshme - import (doganë),Input VAT - Import (paid at customs),1,11,BS,D,CUSTOMS,NA,NA,IMPORT,NEW,"Deduction evidence = DUD/SAD, not supplier invoice"
113300,TVSH e zbritshme - ngarkesë e kundërt,Input VAT - Reverse Charge,1,11,BS,D,TAX,NA,NA,CORE,NEW,Mirror of 210300
113400,Kredi e TVSH-së e bartur,VAT Credit Carried Forward,1,11,BS,D,TAX,NA,NA,CORE,NEW,"Refund only if >EUR 3,000 over 3 months"
113900,TVSH e pazbritshme,Non-deductible Input VAT,1,11,BS,D,TAX,NA,NON,CORE,NEW,Clearing acct; charged to expense/asset in same entry
114100,Tatim në burim i parapaguar,Prepaid Withholding Tax,1,11,BS,D,TAX,NA,NA,CORE,CHG,Tax withheld from us by customers
114200,Kësti i tatimit në fitim (paradhënie),CIT Advance Instalments,1,11,BS,D,TAX,NA,NA,CORE,NEW,Quarterly advances; offsets 211100 at year end
115100,Të arkëtueshme të tjera,Other Receivables,1,11,BS,D,PARTNER,NA,NA,CORE,CHG,
116100,Garanci doganore / depozitë,Customs Guarantee / Deposit,1,11,BS,D,CUSTOMS,NA,NA,IMPORT,NEW,"Bond lodged with Dogana; asset, not expense"
116200,Llogari paradhënie në Doganë,Customs Prepayment Account,1,11,BS,D,CUSTOMS,NA,NA,IMPORT,NEW,Balance held at customs to settle DUDs
117100,Kaucione dhe garanci të tjera,Other Deposits and Guarantees,1,11,BS,D,PARTNER,NA,NA,CORE,NEW,"Rent deposits, tender bonds"
120100,Mallra për shitje,Goods for Sale,1,12,BS,D,ITEM,NA,NA,CORE,CHG,Was VAT18 - now NA; VAT belongs on the document line
120200,Lëndë të para,Raw Materials,1,12,BS,D,ITEM,NA,NA,MFG,CHG,
